id,First Name,Last Name,Company ID,Email,Phone,Designation,Status
1,Sachin,Tendulker,1,srt@gmail.com,7204898292,CEO,1
2,Saurav,Ganguly,2,ganguly@gmail.com,7204898292,CTO,1
3,Rahul,Dravid,2,dravid@gmail.com,7204898292,Software Engineer,1
4,VVS,Laxman,1,vvs@gmail.com,7204898292,SSE,1
5,Virendar,Sehwag,3,veeru@gmail.com,7204898292,HR,1
6,Yuvraj,Singh,2,yuvi@gmail.com,7204898292,SSE,1
7,Mahendra Singh,Dhoni,1,mahi@gmail.com,7204898292,Team Manager,1
8,Virat,Kohli,3,kohli@gmail.com,7204898292,SSE,1
9,Kapil,Dev,2,kapi@ff.com,7204898292,HR,1
10,Sunil,Gavaskar,2,sunny@gmail.com,7204898292,SSE,1
